folder,architecture,dataset,attack,poison_rate,best_deployable_auroc,num_layers,min_rank_ratio,final_rank_ratio,min_cka,final_cka,max_separation_auroc,final_separation_auroc,max_target_alignment,median_lid_clean,median_lid_backdoor,median_lid_ratio,min_lid_ratio,final_direction_norm,rank_ratio_depth,error
swin_cifar100_adaptive_blend_0_1_evade_l1,swin,cifar100,adaptive_blend,0.1,0.9915250675508772,24,0.4842181831999302,0.80078099864611,0.4862624662519883,0.497991982576817,1.0,0.996488,0.6541815400123596,14.38290548324585,27.960516929626465,2.0006514045541173,1.4919883867288968,25.159420013427734,0.75,
swin_cifar100_badnet_a2o_0_01,swin,cifar100,badnet_a2o,0.01,0.99917298810921,24,0.6128978436628892,0.6128978436628892,0.45476406967859023,0.45476406967859023,1.0,1.0,0.695600688457489,14.058355331420898,15.80626630783081,1.0799062226038751,0.9821700858145257,49.205448150634766,1.0,
swin_cifar100_benign,swin,cifar100,benign,0.0,0.511202579204426,24,0.9892503135546565,1.0098447887752176,0.9941525890688064,0.9941525890688064,0.7894200000000001,0.606016,0.038919609040021896,14.365464687347412,14.22743558883667,1.0038382577680354,0.9826653802332802,2.345686435699463,0.5416666666666666,
swin_cifar100_blend_0_1,swin,cifar100,blend,0.1,0.998941437549708,24,0.1857299630615852,0.31414377640683716,0.23561347271495797,0.23561347271495797,1.0,1.0,0.5230461955070496,14.234243392944336,40.73947525024414,2.9623822731777345,1.776692557015857,56.024410247802734,0.875,
swin_cifar100_bpp_0_05_evade_l1,swin,cifar100,bpp,0.05,0.9954053830796176,24,0.08170577909559884,0.1119808856422967,0.10530522775032286,0.10530522775032286,1.0,0.99988,0.39244717359542847,14.548227310180664,29.09736156463623,1.7246522193602667,1.2563323963986985,51.880706787109375,0.8333333333333334,
swin_cifar100_lc_0_05_evade_l1,swin,cifar100,lc,0.05,0.8951876559576262,24,0.4636847269306268,0.5521909417406339,0.4887835677254329,0.5089445341152213,1.0,0.999992,0.35204339027404785,14.443906307220459,26.229581832885742,1.7499998850853768,1.0040136459884248,25.926721572875977,0.9583333333333334,
swin_cifar100_lf_0_05,swin,cifar100,lf,0.05,0.9550299235121746,24,0.0842592854053225,0.14091693320788742,0.13812244869397897,0.13812244869397897,1.0,0.9996799999999999,0.5631173253059387,14.306368827819824,22.61813259124756,1.549275427884304,1.0198677811758645,72.45174407958984,0.9166666666666666,
swin_cifar100_sig_0_1_evade_l1,swin,cifar100,sig,0.1,0.645987487873565,24,0.15979657839716285,0.7934382267146756,0.5229958311562288,0.7396621280450043,0.999036,0.788232,0.5992133021354675,13.913862705230713,18.989378929138184,1.2720419048918823,1.0585428839628213,11.495712280273438,0.6666666666666666,
swin_cifar100_wanet_0_05,swin,cifar100,wanet,0.05,0.9267244079845516,24,0.20905716209639452,0.2580522563550335,0.31293133024599035,0.34241040352169083,0.997452,0.993352,0.551000714302063,14.33797311782837,16.49293804168701,1.127887281551375,0.9833353821744433,60.01469421386719,0.9583333333333334,
swin_cifar10_badnet_a2a_0_01,swin,cifar10,badnet_a2a,0.01,0.6091339453125,24,0.7226228404900257,0.7226228404900257,0.7097795945066152,0.7097795945066152,0.99998,0.9621999999999999,0.2510812282562256,12.774349689483643,15.987929821014404,1.0536932793298701,0.9851402303654349,15.474604606628418,1.0,
