folder,architecture,dataset,attack,poison_rate,best_deployable_auroc,num_layers,min_rank_ratio,final_rank_ratio,min_cka,final_cka,max_separation_auroc,final_separation_auroc,max_target_alignment,median_lid_clean,median_lid_backdoor,median_lid_ratio,min_lid_ratio,final_direction_norm,rank_ratio_depth,error
swin_cifar100_adaptive_blend_0_01_evade_l1,swin,cifar100,adaptive_blend,0.01,0.8653071145609403,24,0.5086493843725787,0.7030195082565058,0.47181336396772156,0.5609983399309116,1.0,0.996132,0.5253033638000488,14.739761352539062,30.08535099029541,1.9609374152587082,1.7192576875541798,34.96001052856445,0.9583333333333334,
swin_cifar100_badnet_a2a_0_05_evade_l1,swin,cifar100,badnet_a2a,0.05,0.6916117265624999,24,0.6310480362180532,0.6310480362180532,0.6662207646477042,0.6662207646477042,1.0,0.99122,0.06437404453754425,14.506587505340576,16.330873012542725,1.0094976288592323,0.9889605609927886,21.341291427612305,1.0,
swin_cifar100_badnet_a2o_0_05,swin,cifar100,badnet_a2o,0.05,0.999583493123598,24,0.6157202607101496,0.6157202607101496,0.4464119373376811,0.4464119373376811,1.0,1.0,0.5966398119926453,14.281100749969482,15.67533254623413,1.0901208070091575,0.9839043369157178,49.83181381225586,1.0,
swin_cifar100_blend_0_01,swin,cifar100,blend,0.01,0.9977318708051316,24,0.23809004091122152,0.344389298090579,0.22085397348354716,0.22085397348354716,1.0,0.999976,0.6544728875160217,14.294026374816895,30.093810081481934,2.3073394810155237,1.3694794207089112,58.87335205078125,0.875,
swin_cifar100_bpp_0_005,swin,cifar100,bpp,0.005,0.9878352871974776,24,0.06062403032414663,0.11381346294933888,0.11175243432521499,0.11175243432521499,1.0,0.9988520000000001,0.7696125507354736,14.507099628448486,23.46272373199463,1.6873229448022866,1.1109957118201534,74.74168395996094,0.875,
swin_cifar100_bpp_0_1_evade_l1,swin,cifar100,bpp,0.1,0.9975162347574054,24,0.18390086151064497,0.21957155088539915,0.1444781130319168,0.1444781130319168,1.0,0.999964,0.5445130467414856,14.480563640594482,25.32759380340576,1.8046533297755696,1.257565123775751,42.761077880859375,0.9166666666666666,
swin_cifar100_lc_0_1_evade_l1,swin,cifar100,lc,0.1,0.6970030037244268,24,0.38323240168345574,0.5777058612927458,0.6593679183913311,0.721197165905506,0.999992,0.9934240000000001,0.4769569933414459,14.351697444915771,16.666028022766113,1.1552600839779796,1.0084421999825874,26.954299926757812,0.9583333333333334,
swin_cifar100_lf_0_1,swin,cifar100,lf,0.1,0.9933171660835736,24,0.05931319552468242,0.1659207957111109,0.140719283985187,0.15081270554980095,0.99998,0.999972,0.5382115840911865,14.327391147613525,18.361531257629395,1.1822344011871642,0.9963717535452757,77.62535095214844,0.875,
swin_cifar100_tact_0_05_evade_l1,swin,cifar100,tact,0.05,0.5704755158748053,24,0.7989564856211648,0.971003259760171,0.8255653257653296,0.947503419018891,0.991328,0.9734720000000001,0.28816038370132446,14.538959503173828,15.232127666473389,1.0078006181791304,0.9811588424930039,14.845990180969238,0.9583333333333334,
swin_cifar100_wanet_0_1,swin,cifar100,wanet,0.1,0.9688139099537132,24,0.12515351344646694,0.12515351344646694,0.19063482751308272,0.19063482751308272,0.9994959999999999,0.997752,0.7396152019500732,14.009207248687744,16.776055335998535,1.1933790992195075,0.9845713174030191,94.596435546875,1.0,
swin_cifar10_badnet_a2a_0_1,swin,cifar10,badnet_a2a,0.1,0.5576048515625001,24,0.867098746277651,0.8989596035676091,0.9207623125757917,0.9207623125757917,1.0,0.991304,0.24848951399326324,12.94195556640625,16.762673377990723,1.0755985556106293,0.9898528668194407,28.206331253051758,0.9583333333333334,
swin_cifar10_blend_0_01,swin,cifar10,blend,0.01,0.9984806327160496,24,0.345901945206319,0.5764149350860373,0.10808674293709608,0.10808674293709608,1.0,0.999988,0.7846996188163757,12.777301788330078,35.8241024017334,2.959796121309688,1.8580674610789745,45.39323806762695,0.7083333333333334,
swin_cifar10_bpp_0_1,swin,cifar10,bpp,0.1,0.9983182677469136,24,0.09813950346415795,0.17452199371960603,0.04664168093547053,0.04664168093547053,1.0,0.9997720000000001,0.807975709438324,12.817226886749268,36.92154884338379,2.9005003053531517,1.4000662277371254,62.90273666381836,0.75,
swin_cifar10_sig_0_1,swin,cifar10,sig,0.1,0.9637932388117284,24,0.2624763249514069,0.760290394396165,0.37259824807634456,0.47103311073086307,1.0,0.999996,0.01353379338979721,12.980334281921387,33.506961822509766,2.188737697001735,1.0592235703106263,42.9765510559082,0.6666666666666666,
swin_tiny_badnet_a2a_0_01_evade_l1,swin,tiny,badnet_a2a,0.01,0.8659610390625001,24,0.6020323150075952,0.6020323150075952,0.7156965020133758,0.7156965020133758,0.999984,0.999724,0.37882912158966064,16.295819759368896,17.599628448486328,0.9991478216566786,0.9890920856337173,9.983832359313965,1.0,
swin_tiny_blend_0_01_evade_l1,swin,tiny,blend,0.01,0.9996926388714646,24,0.03572490467630008,0.054431527725290446,0.10466643896164558,0.10466643896164558,1.0,1.0,0.5171430110931396,15.775418758392334,114.14778518676758,6.765333489874218,2.0086512999180437,55.239933013916016,0.9583333333333334,
swin_tiny_lc_0_01_evade_l1,swin,tiny,lc,0.01,0.6410080586236022,24,0.667452831761596,0.8780594973650307,0.6368716592925684,0.6368716592925684,0.999988,0.9927360000000001,0.3809308707714081,16.506561279296875,19.86455535888672,1.1402891514564166,0.979029792200407,16.993486404418945,0.875,
swin_tiny_sig_0_01_evade_l1,swin,tiny,sig,0.01,0.6337153593786449,24,0.6701572971371313,0.6757127985093246,0.5765181639081451,0.5765181639081451,0.998908,0.904092,0.44394996762275696,15.970995903015137,22.18864631652832,1.432275984812848,0.9872622503200001,9.26602554321289,0.5,
swin_tiny_wanet_0_01_evade_l1,swin,tiny,wanet,0.01,0.7863865730640736,24,0.11734482921023473,0.11734482921023473,0.24370089860568508,0.24370089860568508,0.982608,0.9267920000000001,0.5662677884101868,16.69428539276123,19.40239143371582,1.078675073938396,1.0024588696409116,22.433027267456055,1.0,
vit_cifar100_adaptive_blend_0_05_evade_l1,vit,cifar100,adaptive_blend,0.05,0.9761383365344596,12,0.681922788219136,0.8916340479455186,0.6017267548223418,0.6017267548223418,1.0,0.997452,0.6379166841506958,15.983428001403809,33.258975982666016,1.9568901492639486,1.0470869550477726,15.342134475708008,0.4166666666666667,
vit_cifar100_badnet_a2a_0_1,vit,cifar100,badnet_a2a,0.1,0.7052070781249999,12,0.6792278610299123,0.6792278610299123,0.7566707652555199,0.7566707652555199,1.0,0.972796,0.06557881087064743,13.939192771911621,21.255107879638672,1.1365885923465524,0.9922213493933839,3.718740701675415,1.0,
vit_cifar100_badnet_a2o_0_05_evade_l1,vit,cifar100,badnet_a2o,0.05,0.9960088734975892,12,0.4496436782737399,0.4915196917691897,0.42140854027296504,0.42140854027296504,1.0,0.997996,0.7924028038978577,15.526087284088135,16.472961902618408,1.0464671005253519,0.9928815784440166,19.98076057434082,0.8333333333333334,
vit_cifar100_blend_0_01_evade_l1,vit,cifar100,blend,0.01,0.9950125644032916,12,0.11074671657044916,0.16111309928921025,0.2070569991733083,0.2070569991733083,1.0,0.999504,0.6129355430603027,15.672008991241455,28.978699684143066,1.822193985629898,1.0515496886044833,19.176288604736328,0.75,
vit_cifar100_bpp_0_01,vit,cifar100,bpp,0.01,0.9813062350327568,12,0.10422955736186713,0.10422955736186713,0.11533652880209665,0.11533652880209665,0.999796,0.998684,0.6654694080352783,13.465850830078125,20.57718563079834,1.5621948882079295,0.9971569991594313,15.31711196899414,1.0,
vit_cifar100_lc_0_01,vit,cifar100,lc,0.01,0.9401538695449,12,0.6304875930126571,0.6948389523862887,0.6074410622391191,0.6074410622391191,1.0,1.0,0.067354217171669,14.223487377166748,24.301332473754883,1.2851901556837304,1.000800703303525,10.032736778259277,0.9166666666666666,
vit_cifar100_lf_0_005,vit,cifar100,lf,0.005,0.8627077735685819,12,0.286442297282748,0.286442297282748,0.34244670445737224,0.34244670445737224,0.9977640000000001,0.995096,0.569250226020813,14.509624481201172,21.689289093017578,1.121762535981658,0.9978715955838494,11.956180572509766,1.0,
vit_cifar100_lf_0_1_evade_l1,vit,cifar100,lf,0.1,0.9019437572853386,12,0.2521477189047216,0.2521477189047216,0.270181998309987,0.270181998309987,1.0,0.999796,0.7024329900741577,15.54770565032959,19.39967441558838,1.1077954340621923,0.989930044454332,29.74616050720215,1.0,
vit_cifar100_tact_0_1_evade_l1,vit,cifar100,tact,0.1,0.5254591643923574,12,0.9812400269892975,0.9923775944812818,0.9787574195841943,0.9787574195841943,0.9953000000000001,0.9657560000000001,0.49813568592071533,15.506162643432617,15.525643825531006,1.0035573296844147,0.9898238724012227,4.574338912963867,0.5833333333333334,
vit_cifar10_adaptive_blend_0_005,vit,cifar10,adaptive_blend,0.005,0.7702956500771605,12,0.7336818909909832,1.025181311150881,0.7725367663346506,0.7725367663346506,1.0,0.925148,0.7428048253059387,12.047833919525146,21.461002349853516,1.777300964899136,1.0489241566800593,11.69118595123291,0.3333333333333333,
vit_cifar10_badnet_a2a_0_05,vit,cifar10,badnet_a2a,0.05,0.6978461874999999,12,0.9069367858846027,0.9069367858846027,0.8972211134863207,0.8972211134863207,0.9999399999999999,0.984676,0.13938993215560913,12.500549793243408,14.16127872467041,1.0598062962278547,0.999473816175111,12.301103591918945,1.0,
vit_cifar10_benign,vit,cifar10,benign,0.0,0.5130177276234568,12,0.9626773893680455,0.9945498030398547,0.9939386422687851,0.9978793722729891,0.952612,0.644212,0.23026058077812195,12.109505653381348,12.359631538391113,1.016887759249663,0.9971889462642476,1.3585047721862793,0.6666666666666666,
vit_cifar10_bpp_0_01,vit,cifar10,bpp,0.01,0.991078973765432,12,0.2851157930474829,0.533203856226385,0.1373541296547143,0.15755163342287154,0.99974,0.99342,0.885456919670105,12.430973529815674,19.002190589904785,1.7065373378453201,0.9854218903704096,32.00178527832031,0.75,
vit_cifar10_lc_0_1,vit,cifar10,lc,0.1,0.988722762345679,12,0.8303987111245077,1.4031416630806417,0.746703345957129,0.746703345957129,1.0,1.0,0.15014605224132538,12.350042819976807,17.742329597473145,1.331897161895674,0.9862639301754415,15.924034118652344,0.5833333333333334,
vit_cifar10_sig_0_01,vit,cifar10,sig,0.01,0.6945001832561728,12,0.8525861803126834,1.0509272812439652,0.7731636730618652,0.7731636730618652,0.99756,0.8946479999999999,0.771210253238678,12.037463188171387,14.31974458694458,1.1873945338257368,1.0066392510333075,10.026556015014648,0.3333333333333333,
vit_cifar10_wanet_0_005,vit,cifar10,wanet,0.005,0.5319853202160494,12,0.9771030029945533,1.027866436829171,0.979056438396457,0.9861193687931479,0.7987400000000001,0.67554,0.49580127000808716,13.054850101470947,13.177125930786133,1.0130135424383857,0.9954654019282003,2.3098340034484863,0.5,
vit_gtsrb_adaptive_blend_0_1,vit,gtsrb,adaptive_blend,0.1,0.9999881673815748,12,0.644794373148514,0.9553571256551375,0.7273993524989665,0.799137055553469,1.0,1.0,0.8131711483001709,4.799283266067505,27.100573539733887,6.2393350525288,1.2041234566097998,17.560930252075195,0.5,
vit_gtsrb_benign,vit,gtsrb,benign,0.0,0.5069248790668861,12,0.9957181126803368,0.9999722989852313,0.9987956192819947,0.9999327895324855,0.581,0.527668,0.6734450459480286,4.594562888145447,4.672106981277466,0.9989748881635759,0.993097329109583,0.14448201656341553,0.6666666666666666,
vit_gtsrb_bpp_0_1,vit,gtsrb,bpp,0.1,0.9999113983541792,12,0.3050812204885846,0.32783658679245925,0.12881066202601993,0.12881066202601993,1.0,0.999976,0.7688379883766174,4.767017602920532,28.252633094787598,5.996135627817691,1.2357547454267652,18.251846313476562,0.6666666666666666,
vit_gtsrb_wanet_0_05,vit,gtsrb,wanet,0.05,0.9532213204408556,12,0.3287396696891933,0.3287396696891933,0.4844078618916307,0.4844078618916307,0.975464,0.971792,0.6992359161376953,5.1103363037109375,10.569022178649902,1.4595282884873937,0.9911034741099526,16.757736206054688,1.0,
