folder,architecture,dataset,attack,poison_rate,best_deployable_auroc,num_layers,min_rank_ratio,final_rank_ratio,min_cka,final_cka,max_separation_auroc,final_separation_auroc,max_target_alignment,median_lid_clean,median_lid_backdoor,median_lid_ratio,min_lid_ratio,final_direction_norm,rank_ratio_depth,error
swin_cifar100_adaptive_blend_0_05,swin,cifar100,adaptive_blend,0.05,0.9760265039672548,24,0.5825346929618587,0.8433164981631357,0.5249687922036829,0.5249687922036829,1.0,0.99982,0.6613765954971313,14.516668796539307,35.27047157287598,2.3626660819452363,1.8329596385462346,48.60194778442383,0.16666666666666666,
swin_cifar100_badnet_a2a_0_1,swin,cifar100,badnet_a2a,0.1,0.550840015625,24,0.5903788910590756,0.6241712434127832,0.7608944962470308,0.7608944962470308,1.0,0.9950399999999999,0.053367987275123596,13.700461864471436,17.82280731201172,1.0292413802557787,0.9871543473289315,19.130680084228516,0.9166666666666666,
swin_cifar100_badnet_a2o_0_05_evade_l1,swin,cifar100,badnet_a2o,0.05,0.9832283872110856,24,0.6904425462251161,0.6904425462251161,0.6545431787821115,0.6545431787821115,1.0,1.0,0.27800461649894714,14.652052879333496,16.48040199279785,1.0131614763154018,0.981743739107599,37.152915954589844,1.0,
swin_cifar100_blend_0_01_evade_l1,swin,cifar100,blend,0.01,0.9896522631289736,24,0.026676921057662444,0.11988821788983775,0.1349748754044805,0.1349748754044805,1.0,1.0,0.48750895261764526,14.464049816131592,28.348554611206055,2.1156547730119026,1.7484788813704355,32.59812927246094,0.875,
swin_cifar100_bpp_0_01,swin,cifar100,bpp,0.01,0.997053604529171,24,0.03937273196457334,0.10619279043389161,0.08562512533047138,0.08562512533047138,0.999992,0.999624,0.6667216420173645,14.4345383644104,27.773873329162598,1.9261049007271533,1.3720972861177734,77.77666473388672,0.875,
swin_cifar100_lc_0_01,swin,cifar100,lc,0.01,0.9965792259752924,24,0.5033786995445622,0.5991366748767549,0.49021982510761636,0.49021982510761636,1.0,1.0,0.02196672558784485,14.332977771759033,22.354924201965332,1.3351986843451853,1.0172931755963923,48.94458770751953,0.875,
swin_cifar100_lf_0_005,swin,cifar100,lf,0.005,0.9739695732731976,24,0.09541166028062036,0.18807204654517728,0.19122076011835332,0.20914606161880414,0.9995719999999999,0.9961800000000001,0.5858762860298157,14.334975719451904,19.908788681030273,1.2844632964885876,1.0298665796111741,56.757686614990234,0.9166666666666666,
swin_cifar100_lf_0_1_evade_l1,swin,cifar100,lf,0.1,0.9706759956247064,24,0.07765722820288688,0.07765722820288688,0.10468103337990514,0.10468103337990514,0.999976,0.9989680000000001,0.39903441071510315,14.463669300079346,25.105405807495117,1.4421789130284868,1.0135316527774618,47.429649353027344,1.0,
swin_cifar100_tact_0_1_evade_l1,swin,cifar100,tact,0.1,0.5340678936696717,24,0.6221812218728058,0.9586053801069903,0.7481765218686762,0.9408469852546376,0.97502,0.88226,0.4997238218784332,14.553765296936035,14.71431016921997,1.0062095821363324,0.988410908591972,9.55078125,0.9583333333333334,
swin_cifar100_wanet_0_1_evade_l1,swin,cifar100,wanet,0.1,0.9045526916794796,24,0.06470504100821332,0.08075736247606824,0.13731759178267025,0.13917927790778084,0.998696,0.994176,0.4697110056877136,14.993334293365479,15.400239944458008,1.0333605641933388,0.930416582826152,48.567440032958984,0.9583333333333334,
swin_cifar10_badnet_a2o_0_005,swin,cifar10,badnet_a2o,0.005,0.9873207368827162,24,0.3593695359308048,0.3593695359308048,0.33722113249504376,0.33722113249504376,1.0,0.9958359999999999,0.8216687440872192,12.877264976501465,14.085967540740967,1.0473454592824702,0.8123414229297227,39.673553466796875,1.0,
