folder,architecture,dataset,attack,poison_rate,best_deployable_auroc,num_layers,min_rank_ratio,final_rank_ratio,min_cka,final_cka,max_separation_auroc,final_separation_auroc,max_target_alignment,median_lid_clean,median_lid_backdoor,median_lid_ratio,min_lid_ratio,final_direction_norm,rank_ratio_depth,error
swin_cifar100_adaptive_blend_0_01,swin,cifar100,adaptive_blend,0.01,0.8175845458438102,24,0.5936435771553107,0.8513707265223993,0.6498744156170978,0.6498744156170978,1.0,0.993104,0.533704936504364,14.164362907409668,27.49177360534668,2.0463554278455045,1.7292352264318729,26.86379051208496,0.16666666666666666,
swin_cifar100_badnet_a2a_0_01_evade_l1,swin,cifar100,badnet_a2a,0.01,0.8966378828125,24,0.5059676703297201,0.5774299000036527,0.6788762246232197,0.6788762246232197,1.0,0.9983960000000001,0.0944809764623642,14.49399185180664,16.641698837280273,1.029626724629249,0.9912159188994247,19.041105270385742,0.9583333333333334,
swin_cifar100_badnet_a2o_0_01_evade_l1,swin,cifar100,badnet_a2o,0.01,0.964951927240193,24,0.5990439839281994,0.7394769354322686,0.6674917900864261,0.6902351456902082,1.0,1.0,0.48776572942733765,14.474963188171387,16.592310905456543,1.0202654341270199,0.9877499429078986,100.44851684570312,0.9583333333333334,
swin_cifar100_blend_0_005,swin,cifar100,blend,0.005,0.9953054185560494,24,0.1854194680602497,0.24864020226048247,0.18892575854834798,0.18892575854834798,1.0,0.999984,0.6485288143157959,14.090415954589844,48.29574966430664,3.485661388569308,1.763601362772548,70.13980865478516,0.8333333333333334,
swin_cifar100_blend_0_1_evade_l1,swin,cifar100,blend,0.1,0.996491049683366,24,0.06817682670188058,0.1310427883179738,0.09617704084682814,0.1032011356873535,1.0,0.999992,0.6003776788711548,14.097765445709229,34.99580192565918,2.2151032255950818,1.6961003445110492,30.517547607421875,0.9583333333333334,
swin_cifar100_bpp_0_1,swin,cifar100,bpp,0.1,0.9981324392261588,24,0.07251149589820678,0.2163826776833196,0.11249237932869488,0.12978949656961777,1.0,0.99996,0.5764237642288208,14.302241325378418,37.55948448181152,2.4777559526159276,1.3644297424544616,70.69664001464844,0.875,
swin_cifar100_lc_0_1,swin,cifar100,lc,0.1,0.8970685533158091,24,0.6470883152345284,0.7171183460120543,0.6806429191098128,0.6806429191098128,1.0,0.999912,0.05188489705324173,14.093840599060059,20.029441833496094,1.1913724647921176,1.0133519698122055,41.90990447998047,0.875,
swin_cifar100_lf_0_05_evade_l1,swin,cifar100,lf,0.05,0.9913510774020716,24,0.020257957005006655,0.14802078115042086,0.12529538221651773,0.12529538221651773,0.999708,0.998856,0.6151211857795715,14.322993278503418,18.545170783996582,1.2386553145633665,0.90544069560338,54.25583267211914,0.875,
swin_cifar100_tact_0_01_evade_l1,swin,cifar100,tact,0.01,0.5588616894044389,24,0.8537585498423392,0.9844905775149086,0.8915390051993098,0.964042421780761,0.993544,0.993544,0.28755152225494385,14.377069473266602,15.220407009124756,1.0083222989594094,0.9825637167151017,13.32735538482666,0.9583333333333334,
swin_cifar100_wanet_0_05_evade_l1,swin,cifar100,wanet,0.05,0.7535305354706453,24,0.20021124920857555,0.5888985348992477,0.4314256837944101,0.6634449909027389,0.977104,0.90312,0.6123482584953308,14.188633441925049,15.307723999023438,1.081543019318301,0.9742953397678301,20.687238693237305,0.9583333333333334,
swin_cifar10_badnet_a2a_0_05,swin,cifar10,badnet_a2a,0.05,0.5323328828124999,24,0.8487211777130846,0.8487211777130846,0.8546159193073625,0.8546159193073625,0.999996,0.999576,0.2608878016471863,12.6409330368042,16.08548641204834,1.0514435643929358,0.9847586020953899,19.364768981933594,1.0,
swin_cifar10_blend_0_005,swin,cifar10,blend,0.005,0.9994496913580246,24,0.35443438644118064,0.9450039508316471,0.16815931128692788,0.16815931128692788,1.0,0.999968,0.6959362030029297,12.92491340637207,44.81778907775879,3.3514456253961384,2.6365741790127943,42.99101638793945,0.7916666666666666,
swin_cifar10_bpp_0_05,swin,cifar10,bpp,0.05,0.9993030864197532,24,0.07346980854159982,0.1508186562547064,0.07292531282284741,0.07292531282284741,1.0,0.999784,0.7786688804626465,12.920197010040283,39.685916900634766,2.9398457138252674,1.4363899282155237,61.02067565917969,0.75,
swin_cifar10_lf_0_1,swin,cifar10,lf,0.1,0.9975912037037036,24,0.24920705817255798,0.3822586270790021,0.13439560748634494,0.13439560748634494,1.0,0.9999359999999999,0.6508898735046387,12.768671035766602,22.076117515563965,1.702821898494943,1.0201960100080962,57.939002990722656,0.8333333333333334,
