folder,architecture,dataset,attack,poison_rate,best_deployable_auroc,num_layers,min_rank_ratio,final_rank_ratio,min_cka,final_cka,max_separation_auroc,final_separation_auroc,max_target_alignment,median_lid_clean,median_lid_backdoor,median_lid_ratio,min_lid_ratio,final_direction_norm,rank_ratio_depth,error
swin_cifar100_adaptive_blend_0_05_evade_l1,swin,cifar100,adaptive_blend,0.05,0.96283524928678,24,0.11205573041672379,0.5862440837590305,0.38568526576235357,0.42522963242960793,1.0,0.998912,0.49410074949264526,14.396963119506836,24.21435832977295,1.8892144043740706,1.0957961045759228,38.21147918701172,0.7083333333333334,
swin_cifar100_badnet_a2a_0_1_evade_l1,swin,cifar100,badnet_a2a,0.1,0.645211515625,24,0.5116832187120781,0.6167516625174452,0.7024599874808204,0.7103894481516337,1.0,0.9977280000000001,0.15759454667568207,14.326067924499512,15.865101337432861,1.007853286806871,0.9743336905083791,19.568944931030273,0.9583333333333334,
swin_cifar100_badnet_a2o_0_1,swin,cifar100,badnet_a2o,0.1,0.9997775001207156,24,0.6383248119507547,0.6383248119507547,0.43422430077390084,0.43422430077390084,1.0,1.0,0.5984200239181519,14.29714584350586,16.09037208557129,1.1693020592568444,0.991091614494769,52.707244873046875,1.0,
swin_cifar100_blend_0_05,swin,cifar100,blend,0.05,0.9996665933726514,24,0.17767050447968472,0.26536213840135225,0.19420361291765378,0.19420361291765378,1.0,1.0,0.5626357197761536,13.915785789489746,45.73150444030762,3.328558685820533,1.8071896854262317,67.82703399658203,0.875,
swin_cifar100_bpp_0_01_evade_l1,swin,cifar100,bpp,0.01,0.9778524507669734,24,0.03989079462278175,0.05283638696189001,0.08695182313453421,0.08695182313453421,0.999952,0.995352,0.44125908613204956,14.380257606506348,31.603779792785645,1.9802386971687174,1.2555934138181009,65.9460220336914,0.9583333333333334,
swin_cifar100_lc_0_01_evade_l1,swin,cifar100,lc,0.01,0.7710720227432261,24,0.3113620493693204,0.6230038586394405,0.4961062578688154,0.6703082674344398,1.0,1.0,0.09976851940155029,14.662340641021729,25.154273986816406,1.595034558211595,0.9936115418578735,27.339012145996094,0.9583333333333334,
swin_cifar100_lf_0_01,swin,cifar100,lf,0.01,0.9098495104930824,24,0.11531971120958248,0.16195221008086783,0.19976197511599167,0.19976197511599167,0.999748,0.997428,0.5595608949661255,14.109673023223877,21.7500057220459,1.400532525167053,1.0278106452062334,61.947425842285156,0.875,
swin_cifar100_sig_0_01_evade_l1,swin,cifar100,sig,0.01,0.6745319046454172,24,0.6406920741600661,0.7424981198882058,0.640771595290011,0.6856321253872342,0.999904,0.985712,0.0068635959178209305,14.377229690551758,20.673048973083496,1.4717601553279032,1.0545642687690815,13.514263153076172,0.9583333333333334,
swin_cifar100_wanet_0_01,swin,cifar100,wanet,0.01,0.5968766772989545,24,0.9721913166377414,0.9905509879029807,0.9661389364007338,0.9661389364007338,0.8757839999999999,0.7563,0.6023241281509399,14.40083646774292,14.868101119995117,1.0383485437072575,0.9863186926096094,8.28610897064209,0.625,
swin_cifar10_adaptive_blend_0_05,swin,cifar10,adaptive_blend,0.05,0.9801848765432098,24,0.5779122867381146,0.8115841713570157,0.4862697033445481,0.4862697033445481,1.0,0.996604,0.6731945872306824,12.906471729278564,37.16371726989746,2.795499862737845,1.058157677918321,48.282958984375,0.4166666666666667,
swin_cifar10_badnet_a2o_0_01,swin,cifar10,badnet_a2o,0.01,0.9897666473765432,24,0.4262905399412536,0.4262905399412536,0.39023361051958144,0.39023361051958144,1.0,0.9893919999999999,0.8654102087020874,12.983603477478027,15.258362770080566,1.1890553510034432,0.995669774719469,34.0776252746582,1.0,
swin_cifar10_blend_0_1,swin,cifar10,blend,0.1,0.9997222222222224,24,0.2883096544110389,0.821482962945795,0.15966515113531407,0.15966515113531407,1.0,1.0,0.6603025197982788,12.641153335571289,49.97797203063965,3.7112289722726186,1.6987232141809856,52.01276397705078,0.7083333333333334,
swin_cifar10_lf_0_005,swin,cifar10,lf,0.005,0.7697500096450616,24,0.2337390564961497,0.5099978379072361,0.222332295878061,0.31376024262863633,0.9997640000000001,0.9819040000000001,0.7448683381080627,12.829555988311768,22.244922637939453,1.638937993020569,1.037457390250441,35.99351119995117,0.8333333333333334,
swin_cifar10_wanet_0_1,swin,cifar10,wanet,0.1,0.5840182966820988,24,0.2631950037223086,0.2631950037223086,0.10584878306961654,0.10584878306961654,0.999712,0.998392,0.596408486366272,12.992568016052246,16.4730863571167,1.171718232073165,0.9888797665924558,62.29454803466797,1.0,
